logoAnnotations,fullTextAnnotation,image_file
,"up to 15
brands yo
LOVE
POLICE",clickssample60AltercationbetweenSAPSandEFFmembersandsupportersatClicksclickssample60AltercationbetweenSAPSandEFFmembersandsupportersatClicks_scene_0.jpeg
,"Vaseline Turmeric
Cream for
Dark Spots",clickssample60ApplyVaselineTurmericonFacetoRemoveDARKSPOTSin3Days-BestCollagenCreamforWrinklesclickssample60ApplyVaselineTurmericonFacetoRemoveDARKSPOTSin3Days-BestCollagenCreamforWrinkles_scene_0.jpeg
,"Olive O
here
MIAD",clickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecreamclickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecream_scene_0.jpeg
,u're here,clickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecreamclickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecream_scene_1.jpeg
,"oliv
ire here",clickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecreamclickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecream_scene_2.jpeg
,C,clickssample60BiasAgainstBlackWomenwithNaturalHairclickssample60BiasAgainstBlackWomenwithNaturalHair_scene_4.jpeg
,"EFF
LURSAL",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1.jpeg
,ANA,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_10.jpeg
,"pharmacy
health
ome",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1000.jpeg
,"Tar
pharmacy
health
ome
brands you
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1001.jpeg
,phomacy,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1002.jpeg
,"Card
pharmacy
health
me
uty
brands you
LOVE
32",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1003.jpeg
,"pharmacy
ealth
brands you
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1004.jpeg
,"pharmacy
ealth
brands you
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1005.jpeg
,"豆花
pharmacy
health
brands you
LOVE
32",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1006.jpeg
,"phomacy
health",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1007.jpeg
,"pharmacy
health
9
bands you
LOVE
brands you
LOVE
32",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1008.jpeg
,"phomacy
LOVE
LOVE
le",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1009.jpeg
,EFF,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_101.jpeg
,"pharmacy
health
band you
LOVE
brand you
LOVE
ale",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1012.jpeg
,Chamopy,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1017.jpeg
,LOUIE,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1018.jpeg
Blackburn Rovers F.C.,"EFF
EFF",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_102.jpeg
,TAL,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1021.jpeg
,GITA,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1023.jpeg
,"EFE
EFF",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_103.jpeg
,I,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1032.jpeg
,ON ON,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1034.jpeg
Blackburn Rovers F.C.,,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_104.jpeg
,عدات,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1041.jpeg
,"pharmacy
LOVE
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1056.jpeg
,"phomacy
LOVE->
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1057.jpeg
,D,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1058.jpeg
,"a
pharmacy
Max",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1059.jpeg
,"Varmacy
OVE
LOVE
CLI
714",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1061.jpeg
