position,channel_id,channel_title,video_id,published_at,published_at_sql,year,month,day,video_title,video_description,tags,video_category_label,topic_categories,duration_sec,definition,caption,default_language,default_l_audio_language,thumbnail_maxres,licensed_content,location_description,view_count,like_count,favorite_count,comment_count,controversy,clicks,body_politics
1,UCG7uFJVZsxQRwDssom9Pavw,2nacheki,idXiUfMvTOw,2020-09-08T13:00:05Z,2020-09-08 13:00:05,2020,9,8,Protest at Clicks Continue in South Africa Over Racist African Hair Ad,"For more African News, Lists, Entertainment, and Pop Culture Visit http://2nacheki.tv/ -~-~~-~~~-~~-~- Thank you for watching @2nacheki ! Kindly show us Africa is Watching by Liking, Subscribing, and Sharing this video with friends and family. To directly support us you can become a Channel Member, a Patreon, or Give us a Super Thanks. Please contact us for tips, content submission, Ads, Takedowns, Collabos, Complaints, Reporting, and Inquiries. -~-~~-~~~-~~-~-","african hair,2nacheki,clicksracistad,racist advert,clicks racist advert,clicks south africa,clicks protest,clicks,eff clicks protest,clickscontroversialad,eff clicks protets,tresemme,racist uniliver,south africa,clicks advert,uniliver,clicks hair advert,africa news,africa latest news,natural hair,eff,economic freedom fighters,julius malema,racism,clicksmustfall,malema,racist advertising,Racism south africa,clicks hair advert video,Eff clicks",News & Politics,"Politics,Society",174,hd,FALSE,en-GB,en-US,https://i.ytimg.com/vi/idXiUfMvTOw/maxresdefault.jpg,1,na,10047,583,0,258,yes,yes,yes
2,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,li3_91gCQHc,2020-09-09T04:30:37Z,2020-09-09 4:30:37,2020,9,9,Expose the executives behind the Clicks ad,No comment...for the racist hair advert that's landed Clicks in trouble. Calls to the manufacturer of Tresemme hair products have gone unanswered. Clicks says the executives and agency responsible for the ad should be named. Courtesy #DStv403,na,News & Politics,"Health,Society,Television_program",76,hd,FALSE,en,en,https://i.ytimg.com/vi/li3_91gCQHc/maxresdefault.jpg,1,na,6745,10,0,na,yes,yes,yes
3,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,kvQRfnD1h64,2020-09-10T10:54:39Z,2020-09-10 10:54:39,2020,9,10,Clicks' TRESemmé ad sparks debates around black hair,"The Clicks' TRESemmé ad campaign has brought up hair politics that black women battle every day. That's the view of Socioligy lecturer, Nombuso Shange. Courtesy #DStv403",na,News & Politics,"Health,Society,Television_program",703,hd,FALSE,na,na,https://i.ytimg.com/vi/kvQRfnD1h64/maxresdefault.jpg,1,na,6087,47,0,0,yes,yes,yes
4,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,3BkmO0M56lA,2020-09-08T06:54:04Z,2020-09-08 6:54:04,2020,9,8,Clicks controversial ad caused outrage,"The controversial Clicks advert has raised so many issues that haven't been properly tackled. And when it comes to hair - its both political and emotional . Clicks has suspended two employees over the campaign that prejudiced black women's hair But there's also much to celebrate when it comes to this, hair and beauty specialist Sonto Pooe joins us. Courtesy #DStv403",na,News & Politics,"Health,Society,Television_program",381,hd,FALSE,na,na,https://i.ytimg.com/vi/3BkmO0M56lA/maxresdefault.jpg,1,na,11359,84,0,0,yes,yes,yes
5,UC8yH-uI81UUtEMDsowQyx1g,SABC News,AqQ-ukdgnWc,2020-09-08T07:59:04Z,2020-09-08 7:59:04,2020,9,8,Clicks hair row | EFF continues to protest against racist advertisement,"The EFF has confirmed that its members will continue to protest and close Clicks stores around the country today. This after the DA announced that it will lay charges against EFF Leader Julius Malema for incitement of violence and destruction of property following yesterday's protests. For more we now bring in our reporter Samkele Maseko. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters,Sandton",News & Politics,Society,499,hd,FALSE,na,en,https://i.ytimg.com/vi/AqQ-ukdgnWc/maxresdefault.jpg,na,na,33722,264,0,255,yes,yes,yes
6,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,PG0pYsaIh6s,2020-09-07T13:24:03Z,2020-09-07 13:24:03,2020,9,7,Clicks Group CEO explains the controversial advert,"Vikesh Ramsunder, Clicks Group CEO explains the controversial advert referring to black hair as damaged or frizzy - while the hair of white people is described as fine and flat, and who is responsible for it. Tune into Newzroom Afrika, DSTV channel 405 for more. #Newzroom405",na,News & Politics,"Society,Television_program",393,hd,FALSE,en,na,https://i.ytimg.com/vi/PG0pYsaIh6s/maxresdefault.jpg,na,na,83542,347,0,501,yes,yes,yes
7,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,hZBwMrCCp4A,2020-09-08T16:49:28Z,2020-09-08 16:49:28,2020,9,8,Part 1 | Clicks natural hair campaign labelled 'racist',"Beauty and health retailer, Clicks received backslash for degrading natural black hair, with the Economic Freedom Fighters protesting and calling for the closure of clicks stores nationwide. Courtesy #DStv403",na,News & Politics,"Health,Society,Television_program",715,hd,FALSE,en,en,https://i.ytimg.com/vi/hZBwMrCCp4A/maxresdefault.jpg,1,na,34911,299,0,na,yes,yes,yes
8,UCKZGcrxRAhdUi58Mdr565mw,African Diaspora News Channel,boVhVUgGWCQ,2020-09-10T16:22:27Z,2020-09-10 16:22:27,2020,9,10,"EFF Shutdown Clicks Store After Advert Called Black Hair ""Dull"" & Mzungu Hair ""Normal Hair""","Wongel Zelalem shares a report out of South Africa where a store named Clicks decided to post a demeaning ad calling mzungu hair ""normal hair"" and Black hair ""dull"" Forward Us News Stories news@africandiasporanews.org Join Our Website For News Not Shown On YouTube https://africandiasporanews.org Support Us By Becoming A YouTube Channel Member https://www.youtube.com/channel/UCY6VB6PidbvVZFwyVmUcvEg/join Support Us On Patreon For A Minimum Of $2 Per Month. https://patreon.com/AfricanDiasporaNews Purchase Tubebuddy To Help Grow Your Channel https://www.tubebuddy.com/AfricanDiasporaNews Send Money Orders To 2323 Clear Lake City Blvd. Suite 180 Box 133 Houston,Tx 77062 Paypal https://paypal.me/AdviseMediaNetwork Cash App https://cash.app/$AfricanDiasporaNews Order My Book Passive Aggressive Racism In The System of White Supremacy https://www.amazon.com/dp/1732887314 Listen To The Phillip Scott Audio Experience Podcast https://anchor.fm/advise-media-network Subscribe To All Of Our YouTube Channels https://www.youtube.com/AfricanDiasporaNewsChannel (African Diaspora News Channel) https://www.youtube.com/c/AfricanDiasporaNewsInsider (African Diaspora News Insider) https://www.youtube.com/thephillipscottshow (The Phillip Scott Show) https://youtube.com/intercontinentalfoodreview (Intercontinental Food Review) Follow us on Instagram https://www.instagram.com/africandiasporanews Follow us on Twitter https://twitter.com/AfrDiasporaNews Follow us on Facebook https://www.facebook.com/AfricanDiasporaNews Purchase merchandise from our store https://teespring.com/stores/african-diaspora-news-store","Phillip Scott,theadviseshow,theadviseshowtv,news,trending,politics,advise show media,advise media network,Africa,African Diaspora News Channel,African Diaspora News Insider,African Diaspora,The Phillip Scott Show",News & Politics,Society,1039,hd,FALSE,en,en,https://i.ytimg.com/vi/boVhVUgGWCQ/maxresdefault.jpg,1,na,18255,1507,0,303,yes,yes,yes
9,UC8yH-uI81UUtEMDsowQyx1g,SABC News,naLVyfMrFGs,2020-09-05T12:42:34Z,2020-09-05 12:42:34,2020,9,5,"Native Hair founder Sonto Pooe reacts to Clicks' Ad depicting black hair as 'dry, damaged'","The EFF has condemned an online advertisement by health and lifestyle retailer Clicks, as a regression to the apartheid era that discriminated against black people as abnormal. On Friday Clicks caused social media outrage after images of a black woman's hair was labelled ""dry and damaged"" while the image of the hair of a white woman was labelled as ' fine and flat. Now to further this discussion we are joined via Zoom by the founder of Native Hair, Sonto Pooe. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News",News & Politics,"Health,Society,Television_program",455,hd,FALSE,na,na,https://i.ytimg.com/vi/naLVyfMrFGs/maxresdefault.jpg,1,na,19715,68,0,132,yes,yes,yes
10,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,EH0RpWcq66w,2020-09-08T12:50:32Z,2020-09-08 12:50:32,2020,9,8,Small Business Development Minister criticises Clicks advert,"Small Business Development Minister Khumbudzo Ntshavheni, has criticised Clicks over the retailer's response to the racist hair advert which has come under fire in the past few days. Courtesy #DStv403",na,News & Politics,Society,419,hd,FALSE,na,na,na,1,na,1042,4,0,0,yes,yes,yes
