position,randomise,channel_id,channel_title,video_id,url,published_at,published_at_sql,year,month,day,video_title,video_description,tags,video_category_label,topic_categories,duration_sec,definition,caption,default_language,default_l_audio_language,thumbnail_maxres,licensed_content,location_description,view_count,like_count,favorite_count,comment_count,controversy,clicks,body_politics,eff_lead
50,702,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,YUmIAd_O0U4,https://www.youtube.com/watch?v=YUmIAd_O0U4,2020-09-11T05:34:52Z,2020-09-11 5:34:52,2020,9,11,Clicks has committed to spend more money with small businesses,"Clicks has committed to spend more money with small businesses, and support local beauty and hair brands. The beleaguered retailer met with Small Business Development Minister, Khumbudzo Ntshavheni after the offensive advert uproar. Earlier this week, the minister rejected Clicks' apology. Courtesy #DStv403",na,News & Politics,business;society;television_program,315,hd,FALSE,en,en,https://i.ytimg.com/vi/YUmIAd_O0U4/maxresdefault.jpg,1,na,910,7,0,na,yes,yes,yes,no
214,762,UClY87IoUANFZtswyC9GeecQ,Beauty recipes,AGJmRd4XqEE,https://www.youtube.com/watch?v=AGJmRd4XqEE,2022-11-26T09:08:54Z,2022-11-26 9:08:54,2022,11,26,Apply Vaseline & Turmeric on Face to Remove DARK SPOTS in 3 Days - Best Collagen Cream for Wrinkles,"Super Amazing Vaseline beauty Hacks Every Girl / Women Should Know | Vaseline Beauty Hacks Best Face Packs & Masks for Glowing Skin in India : All Skin Types Clear Skin face pack, glowing skin face pack, skin tightening face pack, remove wrinkles with face pack, face pack to remove dark spots, face pack to remove pimples, acne face pack, skin brightening face pack, overnight face pack, glass skin face pack. Green tea face pack, almond face pack, papaya face pack, multani mitti face pack, turmeric face pack, besan face pack, aloevera face pack, oats face pack. Like us on Facebook https://www.facebook.com/Beauty-Recip... follow us on Instagram https://www.instagram.com/beauty.reci... Welcome to Beauty Recipes. We provide you home remedies for health, skin, hair and all beauty problems. Disclaimer : These contents or videos are only intended for informational purpose.Any information associated with these videos should not be considered as a substitute for prescription suggested by beauty, diet and health care professionals.Viewers are subjected to use these information on their own risk.This channel doesn’t take any responsibility for any harm, side-effects, illness or any health or skin care problems caused due to the use of our content or anything related to this. Please always remember, products that work for me, may not work for you, always try & either get a sample or test them out before buying if you are unsure. If not, you don't have to use the exact same products as me, you can always use similar products or your favorites instead.",vaseline for face;vaseline for skin;vaseline night cream;vaseline for dark spots;petroleum jelly hacks,Howto & Style,health;lifestyle_(sociology),70,hd,TRUE,na,en,https://i.ytimg.com/vi/AGJmRd4XqEE/maxresdefault.jpg,1,na,263208,1968,0,71,no,no,yes,no
263,952,UCYeHXDmIJDiF1DVQM0qfNWQ,Mama Shirat,19uG9pR-UEE,https://www.youtube.com/watch?v=19uG9pR-UEE,2022-07-25T09:43:48Z,2022-07-25 9:43:48,2022,7,25,"Best skin whitening tube cream| Lemonvate cream,skin balance cream",na,na,Howto & Style,health;lifestyle_(sociology),154,hd,FALSE,na,en-US,https://i.ytimg.com/vi/19uG9pR-UEE/maxresdefault.jpg,1,na,41626,320,0,64,yes,no,yes,no
30,785,UC8yH-uI81UUtEMDsowQyx1g,SABC News,PNom9RIla7o,https://www.youtube.com/watch?v=PNom9RIla7o,2020-09-10T10:43:28Z,2020-09-10 10:43:28,2020,9,10,Clicks advert row | EFF and Clicks management meet over racist advert,"The EFF is meeting with a delegation from Clicks and British consumer goods company Unilever. They'll discuss the controversial hair advert that saw the red berets protest and close down Clicks stores this week. For more on the meeting between the EFF and Clicks management we now cross live to our reporter Natasha Phiri in Braamfontein. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.",sabc news;actuality;world news;local news;coronavirus;covid-19;covid-19 lockdown;covid-19 news;eff;clicks;braamfontein,News & Politics,health;society,442,hd,FALSE,na,en,https://i.ytimg.com/vi/PNom9RIla7o/maxresdefault.jpg,1,na,22079,125,0,105,yes,yes,yes,yes
2,944,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,li3_91gCQHc,https://www.youtube.com/watch?v=li3_91gCQHc,2020-09-09T04:30:37Z,2020-09-09 4:30:37,2020,9,9,Expose the executives behind the Clicks ad,No comment...for the racist hair advert that's landed Clicks in trouble. Calls to the manufacturer of Tresemme hair products have gone unanswered. Clicks says the executives and agency responsible for the ad should be named. Courtesy #DStv403,na,News & Politics,health;society;television_program,76,hd,FALSE,en,en,https://i.ytimg.com/vi/li3_91gCQHc/maxresdefault.jpg,1,na,6745,10,0,na,yes,yes,yes,no
13,679,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,qvd3C1ZAAmQ,https://www.youtube.com/watch?v=qvd3C1ZAAmQ,2020-09-08T16:57:47Z,2020-09-08 16:57:47,2020,9,8,Part 2 | Clicks natural hair campaign labelled 'racist',"Beauty and health retailer, Clicks received backslash for degrading natural black hair, with the Economic Freedom Fighters protesting and calling for the closure of clicks stores nationwide. Courtesy #DStv403",na,News & Politics,health;society;television_program,1085,hd,FALSE,en,en,https://i.ytimg.com/vi/qvd3C1ZAAmQ/maxresdefault.jpg,1,na,103706,709,0,na,yes,yes,yes,no
17,647,UC8yH-uI81UUtEMDsowQyx1g,SABC News,rRg8J3lqaPc,https://www.youtube.com/watch?v=rRg8J3lqaPc,2020-09-08T04:44:23Z,2020-09-08 4:44:23,2020,9,8,Government calls for calm after anti-Clicks protests,"Government has called for calm following Monday's anti-Clicks protests. It says while it's noted the public's outrage over the Clicks hair advert, engaging in lawless behaviour is not the way to resolve conflict. Meanwhile, the EFF maintains it did not commission the destruction of property. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.",sabc news;actuality;world news;local news;coronavirus;covid-19;covid-19 lockdown;covid-19 news;clicks;economic freedom fighters,News & Politics,health;society;television_program,121,hd,FALSE,na,en,https://i.ytimg.com/vi/rRg8J3lqaPc/maxresdefault.jpg,na,na,2329,18,0,7,yes,yes,yes,no
24,886,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,vaSOdyC3iNk,https://www.youtube.com/watch?v=vaSOdyC3iNk,2020-09-04T11:32:18Z,2020-09-04 11:32:18,2020,9,4,Clicks in hot water,"Health and beauty retailer, Clicks, is in hot water. over images on its website. Many believe they show prejudice against natural black hair. Courtesy #DStv403",na,News & Politics,health;society;television_program,206,hd,FALSE,en,en,https://i.ytimg.com/vi/vaSOdyC3iNk/maxresdefault.jpg,1,na,108013,115,0,na,yes,yes,yes,no
36,663,UC8yH-uI81UUtEMDsowQyx1g,SABC News,TLAxmusluVw,https://www.youtube.com/watch?v=TLAxmusluVw,2020-09-07T07:45:20Z,2020-09-07 7:45:20,2020,9,7,EFF takes on Clicks over racist advert in Sandton City Mall: Natasha Phiri,"EFF Deputy President Floyd Shivambu will be at the Clicks store at the Sandton City Mall as part of the party's campaign to shut down Clicks stores due to the advert. Our reporter Natasha Phiri is there. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.",sabc news;actuality;world news;local news;coronavirus;covid-19;covid-19 lockdown;covid-19 news;economic freedom fighters;clicks;floyd shivambu;sandton city mall,News & Politics,health;society;television_program,272,hd,FALSE,na,en,https://i.ytimg.com/vi/TLAxmusluVw/maxresdefault.jpg,1,na,25313,133,0,131,yes,yes,yes,yes
72,810,UC8yH-uI81UUtEMDsowQyx1g,SABC News,N2d1eBI5Zjc,https://www.youtube.com/watch?v=N2d1eBI5Zjc,2020-09-07T07:43:52Z,2020-09-07 7:43:52,2020,9,7,EFF embarks on nationwide shutdown of Clicks stores in Goodwood Mall: Mariska Botha,"The EFF has threatened to shut down all Clicks stores across the country if it continues operating. The party has called for the closure of the health and lifestyle retail stores after it failed to meet its list of demands for corrective action over its controversial online advert. Clicks later removed the images and posted an apology, but the EFF says it's not convinced the apology is genuine. Our reporter Mariska Botha is at Goodwood. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.",sabc news;actuality;world news;local news;coronavirus;covid-19;covid-19 lockdown;covid-19 news;economic freedom fighters;clicks;goodwood;western cape,News & Politics,health;society;television_program,276,hd,FALSE,na,en,https://i.ytimg.com/vi/N2d1eBI5Zjc/maxresdefault.jpg,1,na,7297,74,0,34,yes,yes,yes,yes
