labelAnnotations,fullTextAnnotation,image_file
"Customer,Floor,Fixture,Luggage and bags,Door,Job,Flooring,Standing,Building,Event","up to 15
brands yo
LOVE
POLICE",clickssample60AltercationbetweenSAPSandEFFmembersandsupportersatClicksclickssample60AltercationbetweenSAPSandEFFmembersandsupportersatClicks_scene_0.jpeg
"Hand,Gesture,Dish,Thumb,Food,Cuisine,Drink,Ingredient,Wood,Finger","Vaseline Turmeric
Cream for
Dark Spots",clickssample60ApplyVaselineTurmericonFacetoRemoveDARKSPOTSin3Days-BestCollagenCreamforWrinklesclickssample60ApplyVaselineTurmericonFacetoRemoveDARKSPOTSin3Days-BestCollagenCreamforWrinkles_scene_0.jpeg
"Skin,Ear,Happy,Gesture,Leisure,Eyelash,Eyebrow,Beauty,Fun,Hairstyle","Olive O
here
MIAD",clickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecreamclickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecream_scene_0.jpeg
"Eyewear,Customer,Smile,Eyelash,Community,Neck,Fun,Stole,Retail,Fashion design",u're here,clickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecreamclickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecream_scene_1.jpeg
"Skin,Chin,Hair,Eye,Facial expression,Forehead,Eyebrow,Organ,Hairstyle,Face","oliv
ire here",clickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecreamclickssample60BestskinwhiteningtubecreamLemonvatecreamskinbalancecream_scene_2.jpeg
"Twig,Electric blue,Hardwood,Grey,Darkness,Wood,Font,Pattern,Midnight,Event",,clickssample60BiasAgainstBlackWomenwithNaturalHairclickssample60BiasAgainstBlackWomenwithNaturalHair_scene_0.jpeg
"Eyewear,Ear,Jaw,Happy,Gesture,Hearing,Smile,Eyelash,Vision care,Glasses",,clickssample60BiasAgainstBlackWomenwithNaturalHairclickssample60BiasAgainstBlackWomenwithNaturalHair_scene_1.jpeg
"Ear,Jaw,Gesture,Smile,Eyelash,Forehead,Vision care,Mouth,Nose,Glasses",,clickssample60BiasAgainstBlackWomenwithNaturalHairclickssample60BiasAgainstBlackWomenwithNaturalHair_scene_10.jpeg
"Eyewear,Necklace,Gesture,Chin,Fashion design,Vision care,Audio equipment,Fun,Glasses,Chest",,clickssample60BiasAgainstBlackWomenwithNaturalHairclickssample60BiasAgainstBlackWomenwithNaturalHair_scene_11.jpeg
"Eyewear,Jaw,Gesture,Smile,Eyebrow,Vision care,Neck,Human body,Glasses,Chest",,clickssample60BiasAgainstBlackWomenwithNaturalHairclickssample60BiasAgainstBlackWomenwithNaturalHair_scene_12.jpeg
"Eyewear,Ear,Jaw,Gesture,Smile,Eyelash,Forehead,Finger,Vision care,Nose",,clickssample60BiasAgainstBlackWomenwithNaturalHairclickssample60BiasAgainstBlackWomenwithNaturalHair_scene_13.jpeg
"Eyewear,Jaw,Ear,Smile,Eyelash,Eye glass accessory,Vision care,Neck,Sunglasses,Glasses",,clickssample60BiasAgainstBlackWomenwithNaturalHairclickssample60BiasAgainstBlackWomenwithNaturalHair_scene_14.jpeg
"Body jewelry,Eyewear,Ear,Jaw,Gesture,Eyelash,Forehead,Vision care,Neck,Glasses",,clickssample60BiasAgainstBlackWomenwithNaturalHairclickssample60BiasAgainstBlackWomenwithNaturalHair_scene_15.jpeg
